DEMOGRAPHIC_VARIABLES,Age,Gender,EXPERIMENTAL_CONDITIONS_METHOD_FACTORS,Stimulus_Identity,Bag_Matching,IMPLICIT_MEASURES,Evaluative_Measure_Order,Participant,IAT_Score,EXPLICIT_MEASURES,Stimulus_1a_Positive_Negative_Positive_Negative_response,Stimulus_1a_Good_Bad_Good_Bad_response,Stimulus_1a_Pleasant_Unpleasant_Pleasant_Unpleasant_response,Stimulus_1a_Like_Dislike_Like_Dislike_response,Stimulus_2a_Positive_Negative_Positive_Negative_response,Stimulus_2a_Good_Bad_Good_Bad_response,Stimulus_2a_Pleasant_Unpleasant_Pleasant_Unpleasant_response,Stimulus_2a_Like_Dislike_Like_Dislike_response,CS1_Self_Report_Total,CS2_Self_Report_Total,EC_Effect_CS1_CS2_Difference_Score,EXPLORATORY_QUESTIONS,US_Contingency_Awareness,US_Contingency_Awareness_recoded,Influence_Awareness_response,Influence_Awareness_recoded,Demand_Self_Reports,Demand_IAT,Reactance_Self_Reports,Reactance_IAT,Did_the_participant_take_any_notes_response
NA,37,female  ,NA,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2                                                                       ,NA,IAT_First                                                                                           ,2,-0.17529909,NA,-2,-2,-2,-2,1,1,1,1,-2,1,-3,NA,"had different meanings (e.g., some positive, some negative)                                         ",1,"Yes, particularly when there was a series of positive/negative words just before the image, instead ",1,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
NA,35,female  ,NA,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2                                                                       ,NA,IAT_First                                                                                           ,6,0.028899201,NA,1,2,2,2,2,1,1,2,1.75,1.5,0.25,NA,"had different meanings (e.g., some positive, some negative)                                         ",1,"No, I don't think they did.                                                                         ",0,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
NA,29,female  ,NA,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2                                                                       ,NA,Self_Reports_First                                                                                  ,13,0.232443098,NA,0,0,0,0,0,0,0,0,0,0,0,NA,"had different meanings (e.g., some positive, some negative)                                         ",1,"I do think that they played some part in training my brain to think one person was ""better"" than the",1,0                                                                                                   ,0                                                                                                   ,1                                                                                                   ,0                                                                                                   ,No                                                                                                  
NA,22,female  ,NA,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2                                                                       ,NA,IAT_First                                                                                           ,22,0.655318029,NA,0,0,0,0,0,0,0,0,0,0,0,NA,"had different meanings (e.g., some positive, some negative)                                         ",1,No                                                                                                  ,0,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
NA,30,female  ,NA,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2                                                                       ,NA,Self_Reports_First                                                                                  ,23,-0.021294874,NA,0,0,0,0,1,1,1,0,0,0.75,-0.75,NA,"had different meanings (e.g., some positive, some negative)                                         ",1,i dont think so                                                                                     ,0,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
NA,33,female  ,NA,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2                                                                       ,NA,IAT_First                                                                                           ,26,0.527049544,NA,0,0,2,0,0,0,0,2,0.5,0.5,0,NA,"had different meanings (e.g., some positive, some negative)                                         ",1,I knew that's what the experiment was trying to do - mostly negative words being shown with James bu,1,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
NA,28,female  ,NA,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2                                                                       ,NA,IAT_First                                                                                           ,30,-0.169142103,NA,4,3,4,4,3,3,3,4,3.75,3.25,0.5,NA,"had different meanings (e.g., some positive, some negative)                                         ",1,Was great                                                                                           ,NA,1                                                                                                   ,0                                                                                                   ,0                                                                                                   ,1                                                                                                   ,No                                                                                                  
NA,43,female  ,NA,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2                                                                       ,NA,Self_Reports_First                                                                                  ,31,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,                                                                                                    ,NA,                                                                                                    ,NA,                                                                                                    ,                                                                                                    ,                                                                                                    ,                                                                                                    ,No                                                                                                  
NA,43,male    ,NA,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2                                                                       ,NA,Self_Reports_First                                                                                  ,34,-0.486339851,NA,0,0,0,0,2,2,3,2,0,2.25,-2.25,NA,"had different meanings (e.g., some positive, some negative)                                         ",1,i dont think they influenced me at all                                                              ,0,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
NA,38,female  ,NA,No valenced stimulus                                                                                ,No_Shared_Feature_Condition_2                                                                       ,NA,IAT_First                                                                                           ,38,-0.242322908,NA,-1,-2,-2,-2,3,3,2,2,-1.75,2.5,-4.25,NA,"had different meanings (e.g., some positive, some negative)                                         ",1,"I wondered if that could be part of the experiment, but I didn't detect a pattern, so I'm not sure. ",0,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
