DEMOGRAPHIC_VARIABLES,Age,Gender,EXPERIMENTAL_CONDITIONS_METHOD_FACTORS,Color_Matching,Evaluative_Measure_Order,IAT_Block_Order,US_stimuli,IMPLICIT_MEASURES,IAT_Score,EXPLICIT_MEASURES,Intentions_response,Intention_Ratings_Recoded,Intention_Ratings_Correct_Incorrect,Stimulus_1a_Positive_Negative_Positive_Negative_response,Stimulus_1a_Good_Bad_Good_Bad_response,Stimulus_1a_Pleasant_Unpleasant_Pleasant_Unpleasant_response,Stimulus_1a_Like_Dislike_Like_Dislike_response,Stimulus_2a_Positive_Negative_Positive_Negative_response,Stimulus_2a_Good_Bad_Good_Bad_response,Stimulus_2a_Pleasant_Unpleasant_Pleasant_Unpleasant_response,Stimulus_2a_Like_Dislike_Like_Dislike_response,CS1_Self_Report_Total,CS2_Self_Report_Total,EC_Effect_CS1_CS2_Difference_Score,EXPLORATORY_QUESTIONS,US_Contingency_Awareness_CS1,US_Contingency_Awareness_CS1_Recoded,US_Contingency_Awareness_CS2,US_Contingency_Awareness_CS2_Recoded,Participant,Stimulus_Identity,CS_US_Color_Contingency_CS1,CS_US_Color_Contingency_CS2,CS_Color_Contingency_CS1_Recoded,CS_Color_Contingency_CS2_Recoded,CS_Color_Contingency_Recoded_Total_Score,Hypothesis_Awareness,Hypothesis_Awareness_recoded,Influence_Awareness_response,Influence_Awareness_recoded,Demand_Self_Reports,Demand_IAT,Reactance_Self_Reports,Reactance_IAT,Did_the_participant_take_any_notes_response,Total_Contingency_Awareness_Score
NA,31,Female  ,NA,CS1_Positive_CS2_Negative                                                                           ,IAT_First                                                                                           ,NA,NA,NA,-0.735,NA,I would try both Morag and Struan                                                                   ,NA,0,5,5,5,5,5,5,5,5,5,5,0,NA,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,36,MG_SB                                                                                               ,I don’t remember                                                                                  ,I don’t remember                                                                                  ,0,0,0,yes                                                                                                 ,1,neither they were good either way                                                                   ,0,1,1,0,0,                                                                                                    ,0
NA,43,Male    ,NA,CS1_Positive_CS2_Negative                                                                           ,Self_Reports_First                                                                                  ,NA,NA,NA,0.198,NA,I would try Morag                                                                                   ,NA,1,0,0,0,0,0,0,0,0,0,0,0,NA,I don’t remember                                                                                  ,0,I don’t remember                                                                                  ,0,81,MG_SB                                                                                               ,I don’t remember                                                                                  ,I don’t remember                                                                                  ,0,0,0,yes                                                                                                 ,1,no                                                                                                  ,0,0,0,0,0,                                                                                                    ,0
NA,33,Male    ,NA,CS1_Positive_CS2_Negative                                                                           ,Self_Reports_First                                                                                  ,NA,NA,NA,0.632,NA,I would try Struan                                                                                  ,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,85,MG_SB                                                                                               ,I don’t remember                                                                                  ,I don’t remember                                                                                  ,0,0,0,"Noticed the colour change but not what word M or S were present, nor if the word changing was positi",1,No                                                                                                  ,0,0,0,0,0,                                                                                                    ,0
NA,46,Female  ,NA,CS1_Positive_CS2_Negative                                                                           ,IAT_First                                                                                           ,NA,NA,NA,0.341,NA,I would try Struan                                                                                  ,NA,0,-2,-2,-2,-2,0,4,1,1,-2,1.5,-3.5,NA,I don’t remember                                                                                  ,0,I don’t remember                                                                                  ,0,87,MG_SB                                                                                               ,I don’t remember                                                                                  ,I don’t remember                                                                                  ,0,0,0,yes i noticed the colour changes                                                                    ,1,not really                                                                                          ,0,0,0,0,0,                                                                                                    ,0
NA,49,Male    ,NA,CS1_Positive_CS2_Negative                                                                           ,IAT_First                                                                                           ,NA,NA,NA,0.107,NA,I would try neither Brand                                                                           ,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,I don’t remember                                                                                  ,0,I don’t remember                                                                                  ,0,88,MG_SB                                                                                               ,I don’t remember                                                                                  ,I don’t remember                                                                                  ,0,0,0,yes                                                                                                 ,1,none                                                                                                ,0,0,0,1,1,                                                                                                    ,0
NA,26,Male    ,NA,CS1_Positive_CS2_Negative                                                                           ,Self_Reports_First                                                                                  ,NA,NA,NA,-0.046,NA,I would try both Morag and Struan                                                                   ,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,146,MG_SB                                                                                               ,I don’t remember                                                                                  ,I don’t remember                                                                                  ,0,0,0,Yes. I noticed that one word has always left the same color as a positive word and the other with ne,1,"Once the pattern was spotted, any subconscious influence I may have had was removed as I immediately",0,0,1,0,0,                                                                                                    ,0
NA,39,Male    ,NA,CS1_Positive_CS2_Negative                                                                           ,Self_Reports_First                                                                                  ,NA,NA,NA,-0.164,NA,I would try Morag                                                                                   ,NA,1,-3,-3,-3,-4,-5,-4,-3,-4,-3.25,-4,0.75,NA,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,165,MG_SB                                                                                               ,I don’t remember                                                                                  ,I don’t remember                                                                                  ,0,0,0,no                                                                                                  ,0,it did not                                                                                          ,0,0,0,0,0,                                                                                                    ,0
NA,29,Female  ,NA,CS1_Positive_CS2_Negative                                                                           ,Self_Reports_First                                                                                  ,NA,NA,NA,-0.283,NA,I would try neither Brand                                                                           ,NA,0,-3,-3,2,-4,3,-3,2,1,-2,0.75,-2.75,NA,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,34,MG_SB                                                                                               ,The positive words                                                                                  ,I don’t remember                                                                                  ,0,0,0,yes                                                                                                 ,1,"not really - if I'm completely honest, the task was a bit tedious which meant my concentration waned",0,0,0,2,0,                                                                                                    ,0
NA,33,Male    ,NA,CS1_Positive_CS2_Negative                                                                           ,Self_Reports_First                                                                                  ,NA,NA,NA,-0.293,NA,I would try Struan                                                                                  ,NA,0,4,3,3,3,-3,-3,-3,-3,3.25,-3,6.25,NA,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,86,MG_SB                                                                                               ,The negative words                                                                                  ,The negative words                                                                                  ,1,0,1,y                                                                                                   ,1,n                                                                                                   ,0,0,0,0,0,                                                                                                    ,1
NA,23,Male    ,NA,CS1_Positive_CS2_Negative                                                                           ,IAT_First                                                                                           ,NA,NA,NA,-0.251,NA,I would try both Morag and Struan                                                                   ,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,4,MG_SB                                                                                               ,The positive words                                                                                  ,The negative words                                                                                  ,0,0,0,Yes                                                                                                 ,1,Yes the colors that matched had an association in my head                                           ,1,0,0,1,0,                                                                                                    ,0
NA,41,Female  ,NA,CS1_Positive_CS2_Negative                                                                           ,IAT_First                                                                                           ,NA,NA,NA,-0.691,NA,I would try Morag                                                                                   ,NA,1,0,0,0,0,0,0,0,0,0,0,0,NA,Those two other words always have a positive meaning                                                ,0,Those two other words always have a negative meaning                                                ,0,56,MG_SB                                                                                               ,The positive words                                                                                  ,The negative words                                                                                  ,0,0,0,"Yes, I did notice this                                                                              ",1,"It did initially, but then I became immune as the meanings changed                                  ",1,0,2,0,0,                                                                                                    ,0
NA,27,Female  ,NA,CS1_Positive_CS2_Negative                                                                           ,IAT_First                                                                                           ,NA,NA,NA,0.849,NA,I would try Morag                                                                                   ,NA,1,3,4,4,3,-3,-3,-3,-3,3.5,-3,6.5,NA,Those two other words always have a positive meaning                                                ,0,Those two other words always have a negative meaning                                                ,0,163,MG_SB                                                                                               ,The positive words                                                                                  ,The negative words                                                                                  ,0,0,0,yes i noticed only one word changing colour this could either be pleasent or not                    ,1,yes i pretty much preferred morag the whole way through                                             ,1,1,1,0,0,                                                                                                    ,0
NA,22,Male    ,NA,CS1_Positive_CS2_Negative                                                                           ,IAT_First                                                                                           ,NA,NA,NA,0.273,NA,I would try Morag                                                                                   ,NA,1,-1,-1,-1,-1,2,1,2,2,-1,1.75,-2.75,NA,I don’t remember                                                                                  ,0,I don’t remember                                                                                  ,0,212,MG_SB                                                                                               ,The positive words                                                                                  ,The negative words                                                                                  ,0,0,0,Yes                                                                                                 ,1,"Yes, I think so.                                                                                    ",1,0,0,0,0,                                                                                                    ,0
