Participant,DEMOGRAPHIC_VARIABLES,Age,Gender,EXPERIMENTAL_CONDITIONS_METHOD_FACTORS,Evaluative_Measure_Order,Stimulus_Identity,Color_Matching,IMPLICIT_MEASURES,IAT_Score,IAT_Score_RECODED,EXPLICIT_MEASURES,Intentions_response,Intention_Ratings_Recoded,Stimulus_1a_Positive_Negative_Positive_Negative_response,Stimulus_1a_Good_Bad_Good_Bad_response,Stimulus_1a_Pleasant_Unpleasant_Pleasant_Unpleasant_response,Stimulus_1a_Like_Dislike_Like_Dislike_response,Stimulus_2a_Positive_Negative_Positive_Negative_response,Stimulus_2a_Good_Bad_Good_Bad_response,Stimulus_2a_Pleasant_Unpleasant_Pleasant_Unpleasant_response,Stimulus_2a_Like_Dislike_Like_Dislike_response,CS1_Self_Report_Total,CS2_Self_Report_Total,EC_Effect_CS1_CS2_Difference_Score,EC_Effect_CS1_CS2_Difference_Score_RECODED,EXPLORATORY_QUESTIONS,Contingency_awareness_US_Valence_CS1,Contingency_awareness_US_Valence_CS2,Contingency_awareness_US_Valence_CS1_recoded,Contingency_awareness_US_Valence_CS2_recoded,Total_US_Valence_Contingency_Score,CS_US_Contingency_Awareness_CS1,CS_US_Contingency_Awareness_CS2,CS_US_Contingency_Awareness_CS1_recoded,CS_US_Contingency_Awareness_CS2_recoded,Total_CS_US_Contingency_Score,Hypothesis_Awareness,Influence_Awareness_response,Hypothesis_Awareness_recoded,Influence_Awareness_recoded,Demand_Self_Reports,Demand_IAT,Demand_Self_Reports_recoded,Demand_IAT_recoded,Reactance_Self_Reports,Reactance_IAT,Did_the_participant_take_any_notes_response
847,NA,35,male    ,NA,                                                                                                    ,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,NA,0.65469819,-0.65469819,NA,I would try neither Brand                                                                           ,0,2,2,2,2,2,2,2,2,2,2,0,0,NA,"have different meanings (e.g., some were positive, some were negative, some were neutral)           ","have different meanings (e.g., some were positive, some were negative, some were neutral)           ",1,1,2,and NEUTRAL WORDS subsequently share a color                                                        ,and NEUTRAL WORDS subsequently share a color                                                        ,0,0,0,Not much.                                                                                           ,Not much.                                                                                           ,0,0,I don’t know                                                                                      ,I don’t know                                                                                      ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
773,NA,20,male    ,NA,                                                                                                    ,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,NA,-0.774536566,0.774536566,NA,I would try Struan                                                                                  ,1,-5,-5,-5,-5,5,5,5,5,-5,5,-10,10,NA,always have a negative meaning                                                                      ,always have a positive meaning                                                                      ,0,0,0,and NEGATIVE WORDS subsequently share a color                                                       ,and POSITIVE WORDS subsequently share a color                                                       ,1,1,2,Yes                                                                                                 ,yes                                                                                                 ,1,1,How I actually felt about MORAG and STRUAN                                                          ,I tried to alter my performance based on what I thought the researchers wanted to find              ,0       ,1       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
166,NA,21,male    ,NA,                                                                                                    ,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,NA,-0.481789353,0.481789353,NA,I would try Struan                                                                                  ,1,1,1,-2,0,2,3,2,2,0,2.25,-2.25,2.25,NA,"have different meanings (e.g., some were positive, some were negative, some were neutral)           ",always have a positive meaning                                                                      ,1,0,1,I don’t remember                                                                                  ,I don’t remember                                                                                  ,0,0,0,Nope                                                                                                ,Slightly                                                                                            ,0,1,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
268,NA,23,male    ,NA,                                                                                                    ,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,NA,0.504985563,0.504985563,NA,I would try Morag                                                                                   ,1,3,2,2,2,-2,-3,-3,-3,2.25,-2.75,5,5,NA,"have different meanings (e.g., some were positive, some were negative, some were neutral)           ","have different meanings (e.g., some were positive, some were negative, some were neutral)           ",1,1,2,and POSITIVE WORDS subsequently share a color                                                       ,and NEGATIVE WORDS subsequently share a color                                                       ,1,1,2,yes I did notice.                                                                                   ,yes it did influence mean because the ingrained association from the presentations.                 ,1,1,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
346,NA,24,other   ,NA,                                                                                                    ,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,NA,-0.283255929,-0.283255929,NA,I would try Morag                                                                                   ,1,5,5,5,4,-5,-5,-5,-5,4.75,-5,9.75,9.75,NA,"have different meanings (e.g., some were positive, some were negative, some were neutral)           ","have different meanings (e.g., some were positive, some were negative, some were neutral)           ",1,1,2,and POSITIVE WORDS subsequently share a color                                                       ,and NEGATIVE WORDS subsequently share a color                                                       ,1,1,2,"Yes, and I took note of the colors at first, but as time went by I stopped mentioning the colors in ",I would say it did.                                                                                 ,1,1,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
420,NA,18,male    ,NA,                                                                                                    ,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,NA,0.589645736,0.589645736,NA,I would try neither Brand                                                                           ,0,1,2,2,1,0,-2,0,-2,1.5,-1,2.5,2.5,NA,always have a positive meaning                                                                      ,always have a negative meaning                                                                      ,0,0,0,and POSITIVE WORDS subsequently share a color                                                       ,and NEGATIVE WORDS subsequently share a color                                                       ,1,1,2,"I noticed about halfway through, but was focused on the color since it said to.                     ","Yes, the word association was prevelant during the sorting task when I was supposed to sort Good and",1,1,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
479,NA,23,female  ,NA,                                                                                                    ,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,NA,-0.081913185,0.081913185,NA,I would try Struan                                                                                  ,1,-2,-2,-1,-2,3,4,3,3,-1.75,3.25,-5,5,NA,"have different meanings (e.g., some were positive, some were negative, some were neutral)           ","have different meanings (e.g., some were positive, some were negative, some were neutral)           ",1,1,2,and NEGATIVE WORDS subsequently share a color                                                       ,and POSITIVE WORDS subsequently share a color                                                       ,1,1,2,"Yes, MORAG seemed very closly linked to murder                                                      ",Yes                                                                                                 ,1,1,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
506,NA,20,female  ,NA,                                                                                                    ,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,NA,-0.72842601,-0.72842601,NA,I would try Morag                                                                                   ,1,3,4,4,0,-5,-5,-5,-5,2.75,-5,7.75,7.75,NA,"have different meanings (e.g., some were positive, some were negative, some were neutral)           ","have different meanings (e.g., some were positive, some were negative, some were neutral)           ",1,1,2,and POSITIVE WORDS subsequently share a color                                                       ,and NEGATIVE WORDS subsequently share a color                                                       ,1,1,2,Yes I did.                                                                                          ,Yep.                                                                                                ,1,1,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
678,NA,35,male    ,NA,                                                                                                    ,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,NA,-0.049942073,0.049942073,NA,I would try Struan                                                                                  ,1,-5,-5,-5,-5,5,5,5,5,-5,5,-10,10,NA,always have a negative meaning                                                                      ,always have a positive meaning                                                                      ,0,0,0,and NEGATIVE WORDS subsequently share a color                                                       ,and POSITIVE WORDS subsequently share a color                                                       ,1,1,2,no                                                                                                  ,no                                                                                                  ,0,0,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
704,NA,20,female  ,NA,                                                                                                    ,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,NA,-0.123609174,0.123609174,NA,I would try Morag                                                                                   ,0,-3,-3,-2,-2,2,3,3,2,-2.5,2.5,-5,5,NA,"have different meanings (e.g., some were positive, some were negative, some were neutral)           ","have different meanings (e.g., some were positive, some were negative, some were neutral)           ",1,1,2,and NEGATIVE WORDS subsequently share a color                                                       ,and POSITIVE WORDS subsequently share a color                                                       ,1,1,2,Yes                                                                                                 ,Yes                                                                                                 ,1,1,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
179,NA,22,male    ,NA,                                                                                                    ,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,NA,0.653692345,0.653692345,NA,I would try Morag                                                                                   ,1,-1,-1,-1,-1,-2,0,-2,-2,-1,-1.5,0.5,0.5,NA,"have different meanings (e.g., some were positive, some were negative, some were neutral)           ","have different meanings (e.g., some were positive, some were negative, some were neutral)           ",1,1,2,and NEGATIVE WORDS subsequently share a color                                                       ,and POSITIVE WORDS subsequently share a color                                                       ,0,0,0,No i did not                                                                                        ,no as I didn't notice this                                                                          ,0,0,I don’t know                                                                                      ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
33,NA,32,female  ,NA,                                                                                                    ,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,NA,0.178840963,0.178840963,NA,I would try Struan                                                                                  ,0,1,1,1,1,1,1,1,1,1,1,0,0,NA,"have different meanings (e.g., some were positive, some were negative, some were neutral)           ","have different meanings (e.g., some were positive, some were negative, some were neutral)           ",1,1,2,and POSITIVE WORDS subsequently share a color                                                       ,and NEGATIVE WORDS subsequently share a color                                                       ,1,1,2,"Yes, I did notice this                                                                              ","No, I don't think it had any effect                                                                 ",1,0,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
